first_name,last_name,address,city,province,postal,phone1,email
Maxima,Brzozowski,864 Aupuni St,St Catharines,ON,L2T 2V2,905-569-6732,mbrzozowski@aol.com
Boris,Latif,9390 Fortin Dr,Quebec,QC,G1M 2H8,418-459-4884,boris.latif@latif.com
Salina,Knavel,4 Newark St,Arnprior,ON,K7S 2G8,613-280-7170,salina.knavel@gmail.com
Justa,Dini,8 J St,Vernon,BC,V1T 6J8,250-982-9377,justa.dini@hotmail.com
Amalia,Wolfgang,394 Dice Rd #861,Windsor,ON,N8N 3V8,519-219-3608,amalia_wolfgang@wolfgang.org
Felix,Tutterrow,92 W 39th St #9990,London,ON,N6G 3E5,519-426-7161,ftutterrow@tutterrow.org
Eura,Mcglocklin,9 N Monroe St,Lloydminster,SK,S9V 0C6,306-979-2571,eura@mcglocklin.org
Lang,Heuring,2 Global Rd,Cambridge,ON,N1R 2X2,519-985-7311,lang@cox.net
Agustin,Lakatos,23 E Wacker Dr #64,Becancour,QC,G9H 4T4,819-365-5394,agustin.lakatos@hotmail.com
Jaime,Lowrance,1 Nw 167th St,Winnipeg,MB,R3J 2Z1,204-438-6204,jaime.lowrance@lowrance.org
Carman,Gudiel,1 Frontage Rd,St. Johns,NL,A1B 5B3,709-366-8943,carman@gmail.com
Argelia,Hofbauer,5 Columbia,North Vancouver,BC,V7J 2J9,604-823-2881,argelia.hofbauer@cox.net
Mammie,Cisney,14 E 30th St,Montreal,QC,H1E 1R4,514-205-4258,mammie@cox.net
Rashad,Menino,8 Commercial Ave,Carleton Place,ON,K7C 2T3,613-697-2555,rashad.menino@menino.com
Janna,Bastain,41 Drive  Hwy 54s S,Vancouver,BC,V6N 3C5,604-575-7837,janna@bastain.com
Callie,Neikirk,6601 Park Ave #9924,Mississauga,ON,L4T 0A1,905-465-6909,callie.neikirk@neikirk.org
Coral,Helmcamp,4184 E 142nd St,Toronto,ON,M5V 0B4,416-589-6075,coral.helmcamp@helmcamp.org
Xenia,Mushero,1 El Camino Ave #39,Kingston,ON,K7K 1P6,613-714-1829,xenia@aol.com
Adelle,Nitcher,10 Midway Dr,Thorold,ON,L2V 5C7,905-998-3758,anitcher@aol.com
Hildegarde,Wehrwein,2 Cottman Ave,West Vancouver,BC,V7T 1R7,604-960-7463,hwehrwein@gmail.com
Phuong,Sugai,8926 E 119th St #9,Lavaltrie,QC,J5T 2C7,450-501-4406,psugai@gmail.com
Leontine,Lafoy,191 Richland St #5,Quebec,QC,G1J 4B2,418-271-8667,llafoy@aol.com
Darell,Mcalarney,8 E 92nd St,Ajax,ON,L1S 6V3,905-846-7737,darell_mcalarney@mcalarney.com
Madonna,Landman,283 Andover St,Castlegar,BC,V1N 3P7,250-307-7698,madonna.landman@landman.com
Chuck,Berggren,764 Louisville Plac,St. Johns,NL,A1E 2L8,709-534-6576,chuck@gmail.com
Gregg,Epperheimer,59 W Jackson Blvd #11,Lasalle,QC,H8R 3T2,514-302-4158,gepperheimer@aol.com
Yan,Bubrig,712 N 5th St,Grand Manan,NB,E5G 1L1,506-493-4894,yan@cox.net
Stephanie,Garlett,6 L St #1761,Kanata,ON,K2T 1G5,613-557-7338,stephanie.garlett@gmail.com
Alberto,Stenquist,6126 E 14th St #6,St Catharines,ON,L2N 6C7,905-435-9456,alberto_stenquist@stenquist.org
Wayne,Shivers,865 Ponce De Leon Blvd,Chicoutimi,QC,G7H 6A2,418-374-1965,wayne@aol.com
Kristal,Bothe,896 Pershing Ave,Paradise,NL,A1L 2Y8,709-976-5766,kristal@hotmail.com
Florencia,Stadel,178 Riverdale Rd,Ingersoll,ON,N5C 2W2,519-961-7871,fstadel@gmail.com
Darrin,Tumolillo,4 Pedretti Ave #2,Saskatoon,SK,S7H 1X9,306-748-5721,darrin@tumolillo.com
Freeman,Rudig,4 W Sedgley Ave,Otterburn Park,QC,J3H 4V8,450-347-6388,freeman@yahoo.com
Lazaro,Mollison,31 E Middlefield Rd #8555,Beloeil,QC,J3G 3J4,450-356-6427,lazaro@gmail.com
Ellsworth,Rieg,7662 Us Highway 46 #9003,Napanee,ON,K7R 1K5,613-862-4724,erieg@hotmail.com
Brinda,Mrkvicka,1 Park Ave,Newbridge,NB,E7N 1J4,506-392-8334,brinda.mrkvicka@gmail.com
Florinda,Mackedanz,2782 Midland Ave,Dieppe,NB,E1A 8X6,506-230-8075,florinda_mackedanz@mackedanz.org
Nadine,Swartzbeck,3 Federal Blvd,Beloeil,QC,J3G 4M4,450-353-2331,nadine_swartzbeck@swartzbeck.org
Arlette,Torchio,485 Rolling Rd,Lasalle,QC,H8R 3C2,514-459-6883,arlette_torchio@hotmail.com
Adolph,Krivanec,6605 Federal St,Etobicoke,ON,M8Y 3L6,416-736-1436,akrivanec@hotmail.com
Georgiana,Colbath,505 E 9mile Rd,Sainte-Therese,QC,J7E 3C9,450-409-1254,gcolbath@hotmail.com
Rana,Lehn,32 Rocklyn Ave,Milton,ON,L9T 5W8,905-286-8285,rlehn@yahoo.com
Chi,Morgan,2953 5th Ave #27,Saint-Raymond,QC,G3L 3K2,418-922-5578,chi@gmail.com
Starr,Prothro,133 Us Highway 206,Chicoutimi,QC,G7H 4M5,418-811-3750,sprothro@prothro.com
Glennis,Roseum,1 Pershing Ave,Brandon,MB,R7A 4C6,204-514-9319,glennis.roseum@gmail.com
Thea,Petermeier,402 Santa Isabel Ave,Sept-Iles,QC,G4S 1Z5,418-360-6739,thea@hotmail.com
Rosalind,Persechino,86 Shady Run Rd,Kanata,ON,K2M 1E6,613-975-5760,rosalind.persechino@aol.com
Shenika,Tapian,4 Collier Rd Nw,Ottawa,ON,K1S 1N5,613-219-1869,shenika.tapian@aol.com
Veta,Vandeberg,940 E Jefferson Ave,Juniper,NB,E7L 1G1,506-996-1241,vvandeberg@gmail.com
Herschel,Geneseo,7753 W 8th,Toronto,ON,M4V 1Y3,416-786-7887,herschel@geneseo.com
Dianne,Tomasic,53 6  17 M At Bradleys,Dartmouth,NS,B2Y 3L2,902-938-6891,dianne@yahoo.com
Micah,Gerten,103 Madison Ave,St. Johns,NL,A1E 2J5,709-581-5842,micah@cox.net
Kaycee,Alaibilla,8788 E 64th Ave,Vancouver,BC,V6R 1N3,604-992-6045,kaycee.alaibilla@yahoo.com
Tesha,Brang,831 Vanowen St #5,Montreal,QC,H4K 2N2,514-432-5290,tesha@aol.com
Marya,Chhour,661 Pitkin Ave,Calgary,AB,T3Z 3S8,403-382-4146,marya@cox.net
Ronnie,Kettelle,3 Avenue Rt 295 #199,Halifax,NS,B3H 1M2,902-367-7042,ronnie_kettelle@aol.com
Mabel,Fower,709 W Waters Ave,Chicoutimi,QC,G7H 3T5,418-339-7473,mabel_fower@fower.com
Harley,Works,27 Spring St,Woodstock,ON,N4S 2K1,519-913-7772,harley@cox.net
Joye,Nedman,9 Court St,Regina,SK,S4N 3J4,306-991-3698,joye@cox.net
Luisa,Harnish,82 Westminster Blvd,Vancouver,BC,V5X 2B5,604-399-1449,lharnish@harnish.com
Stacey,Lortz,5039 Coffee Rd,Scarborough,ON,M1K 1H4,416-310-1610,stacey_lortz@aol.com
Reyes,Mesmer,9 E Thayer Ave #3,Hamilton,ON,L8S 2N1,905-402-9203,reyes@mesmer.org
Avery,Demus,1 Highland Ave,Maple Ridge,BC,V4R 1Z3,604-548-4412,avery.demus@aol.com
Colby,Scotts,7 E 1st St,Barrie,ON,L4N 3M9,705-668-5094,cscotts@aol.com
Afton,Wrinkle,652 5th Ave,Ottawa,ON,K1N 6S5,613-851-7883,awrinkle@wrinkle.org
India,Sifford,162 Sunrise Plz,Toronto,ON,M5N 1J1,416-866-6707,isifford@sifford.org
Brunilda,Coin,300 Congers Rd #77,Saint-Paul,NB,E4T 3B9,506-327-7460,brunilda_coin@aol.com
Jenifer,Emanuel,78 152nd Ave #4179,Duncan,BC,V9L 4G2,250-947-2063,jemanuel@emanuel.com
Makeda,Nosis,956 Sierra Ave,Toronto,ON,M5K 1A1,416-827-4082,makeda.nosis@yahoo.com
Vivan,Oppy,4696 Alewa Dr,Swift Current,SK,S9H 3S9,306-325-3090,voppy@gmail.com
Eric,Gazzola,732 Congress St,Saint-Georges,QC,G5Z 0N4,418-274-7373,eric@cox.net
Thersa,Davirro,863 E Mcdowell Rd,Kamloops,BC,V2C 6S8,250-540-5275,thersa.davirro@aol.com
Mindy,Presnal,82 Us Highway 111,Vancouver,BC,V5X 3K2,604-213-8721,mpresnal@yahoo.com
Luis,Metzner,8868 S Arroyo Pkwy #996,Trois-Rivieres,QC,G8V 2J6,819-860-8913,lmetzner@metzner.org
Dawne,Mcloud,25 Keystone Xing,Stoney Creek,ON,L8E 2E4,905-760-9649,dmcloud@cox.net
Karrie,Kinikini,491 Main St #893,Kamloops,BC,V2B 7X9,250-384-7658,karrie_kinikini@kinikini.org
Mozelle,Hermon,523 Spencerville Ct,Mount Pisgah,NB,E4G 1E8,506-573-3112,mozelle_hermon@cox.net
Mila,Hair,515 S Main St,Saint-Leonard,QC,H1P 1M8,514-945-2978,mhair@cox.net
Gilma,Jefferys,147 E Centre St,Halifax,NS,B3H 4E1,902-804-8543,gjefferys@aol.com
Armanda,Mcduffie,989 Wyatt Dr #7,Cowansville,QC,J2K 2M6,450-866-7181,armanda.mcduffie@hotmail.com
Vonda,Normandeau,9891 Main St,Mirabel,QC,J7J 1G7,450-706-3809,vonda@yahoo.com
Truman,Mondale,1657 N Green St,Peterborough,ON,K9J 0A1,705-757-7389,truman.mondale@aol.com
Elvis,Tenuta,6437 Date Palm Dr,Calgary,AB,T2B 0X5,403-415-1285,elvis_tenuta@tenuta.org
Loise,Dedaj,1062 Rd,Saskatoon,SK,S7K 5J3,306-964-9291,loise@aol.com
Jannette,Pedder,73 Madison Ave,Vancouver,BC,V6L 2V9,604-953-5335,jpedder@pedder.com
Margo,Rand,344 Lyndon St,Concord,ON,L4K 1J7,905-781-3868,margo@rand.org
Dahlia,Benett,3986 Home Life,Alma,QC,G8B 1K7,418-344-9993,dahlia_benett@aol.com
Dominga,Mckeon,68 Dd N #1,Trois-Rivieres,QC,G8T 7G3,819-627-1581,dominga_mckeon@yahoo.com
Hollis,Keomuangtai,27 7th St,Keswick,ON,L4P 1V3,905-928-5294,hollis.keomuangtai@cox.net
Carry,Ziller,8 Maynesboro St,Strathroy,ON,N7G 3H9,519-847-8783,carry@cox.net
Bong,Fears,7 State St #1,Pierrefonds,QC,H9H 3C8,514-308-1992,bfears@fears.org
Yolande,Staiano,21 N 14th St,Orleans,ON,K1C 3C7,613-700-7712,yolande_staiano@gmail.com
Lottie,Hegdahl,45 W 21st St,Unionville,ON,L3R 2H1,905-638-1034,lottie_hegdahl@aol.com
Jose,Kylish,93 Law Dr,Pierrefonds,QC,H9J 1W6,514-211-3774,jose.kylish@aol.com
Tuyet,Abramovitz,976 Cozycroft Ave,Richmond Hill,ON,L4E 4P3,905-790-7938,tuyet.abramovitz@abramovitz.com
Pearline,Provenzano,611 S 2nd St,Concord,ON,L4K 1V4,905-734-9102,pearline.provenzano@provenzano.org
Robt,Hankison,3780 Ronson Rd,Quebec,QC,G1L 4H3,418-874-8104,robt_hankison@cox.net
Shawnee,Kesten,5 W Irving Park Rd,Big Ridge,NS,B1K 1X8,902-208-1038,shawnee@yahoo.com
Lacresha,Quinones,48 Bernardo Cent,Vaudreuil-Dorion,QC,J7V 5V8,450-213-1080,lacresha@hotmail.com
Basilia,Vinroe,45 S Wells Ave,Quebec,QC,G1H 1A6,418-386-6120,basilia.vinroe@gmail.com
Aleisha,Areizaga,960 Deming Way,Quebec,QC,G1C 5G2,418-408-1640,aareizaga@hotmail.com
Frank,Tryninewski,462 2nd St,Prince Albert,SK,S6V 6E5,306-653-1772,ftryninewski@gmail.com
Ria,Steinhorst,269 Commercial Dr,Jonquiere,QC,G7S 2S3,418-319-1374,ria.steinhorst@steinhorst.com
Carla,Kallenberger,8 Commercial Blvd #9,Hanover,ON,N4N 1Z7,519-646-7797,carla@aol.com
Lashanda,Skahan,739 Stockton Ave,Gray Rapids,NB,E9B 1G6,506-497-2698,lashanda.skahan@aol.com
Jarod,Catalina,60 Sunrise Ave,North Bay,ON,P1B 2L4,705-369-2146,jcatalina@aol.com
Leoma,Rabago,575 Washington St,Nanaimo,BC,V9R 6W5,250-810-7815,leoma.rabago@hotmail.com
Yasuko,Greeves,4634 Anania Dr,Vernon,BC,V1B 3Z4,250-891-6910,ygreeves@cox.net
Jimmie,Snelling,24 Sw Bridgeport Rd,Oakville,ON,L6J 7H9,905-772-1416,jimmie.snelling@gmail.com
Titus,Dugre,419 N Dixboro Rd #8,Gatineau,QC,J9J 0V4,819-983-1846,titus.dugre@dugre.org
Joanne,Teoh,1 W Sierra Madre Blvd #9985,St Catharines,ON,L2M 1R4,905-219-6895,joanne@yahoo.com
Suzi,Groom,9 W Jackson Blvd,Surrey,BC,V3S 7P4,604-700-2946,suzi.groom@groom.org
Denny,Amazan,4974 Rockburn Hill Rd #3,Surrey,BC,V4A 8M9,604-239-4105,denny@amazan.com
Willie,Coughlan,8545 S Westshore Blvd,Cantley,QC,J8V 3K1,819-869-6389,willie@aol.com
Margurite,Brake,258 S Ash Ave,Amherstburg,ON,N9V 1S8,519-476-5983,margurite.brake@yahoo.com
Arlen,Romack,1 W Green Bay St,Saint John,NB,E2K 3R6,506-218-3036,arlen.romack@yahoo.com
Shaniqua,Corna,8 Sylvan Ave,North York,ON,M3H 5X6,416-573-9093,shaniqua@yahoo.com
William,Boccard,9 Clove Rd,Pointe-aux-Trembles,QC,H1B 4R4,514-606-4631,william@gmail.com
Silva,Riviere,10 Canal St,Pierrefonds,QC,H8Y 2A9,514-319-4125,silva.riviere@riviere.org
Gearldine,Haberle,62 N 3rd St,Calgary,AB,T2J 0S5,403-810-3712,gearldine_haberle@hotmail.com
Azalee,Aja,2607 Market St,Chateauguay,QC,J6J 3J8,450-515-9694,azalee.aja@cox.net
Kimbery,Plikerd,62 15th Ave #63,Duncan,BC,V9L 2E9,250-504-9388,kimbery.plikerd@cox.net
Ricarda,Kratt,1 Clairemont Mesa Blvd,New Glasgow,NS,B2H 3Y5,902-614-2197,rkratt@yahoo.com
Macy,Massay,6 N Water St,Dauphin,MB,R7N 2C7,204-656-8450,macy@hotmail.com
Carol,Normington,1 S Kresson St,Alma,QC,G8E 1G2,418-540-2207,carol@gmail.com
Blythe,Czaplinski,4 S 4th St,Calgary,AB,T2V 2M5,403-775-4053,blythe_czaplinski@czaplinski.com
Tanesha,Tesseneer,326 Witherspoon St,Etobicoke,ON,M9R 2W5,416-568-3388,tanesha_tesseneer@hotmail.com
Yaeko,Orndoff,66 Hoffman St,St Thomas,ON,N5P 2E5,519-625-4433,yaeko_orndoff@orndoff.org
Broderick,Lorenz,185 Davis St,Saskatoon,SK,S7N 3M6,306-285-1574,broderick_lorenz@hotmail.com
Twila,Shadle,20 Simpson Ferry Rd,Victoria,BC,V8Y 1H4,250-862-6746,tshadle@shadle.com
Sarina,Pead,7821 16th St Nw,Ajax,ON,L1S 1S7,905-696-6221,spead@cox.net
Candra,Peets,9 Pulaski Park Dr #7,North Bay,ON,P1B 2V6,705-799-1235,candra@hotmail.com
Von,Aprigliano,63 Baronne St,Port Moody,BC,V3H 1E8,604-986-3233,von@aol.com
Natalya,Verso,74 Chestnut St,Kitchener,ON,N2A 1S3,519-736-9305,natalya_verso@yahoo.com
Stanton,Rigazio,4 Smith St #5,North York,ON,M3M 2A4,416-801-7398,srigazio@rigazio.org
Dona,Larner,4298 E Drinker St,York,ON,M6M 1V5,416-884-9104,dona@hotmail.com
Cortney,Choice,80 S 33rd Pl,Greenfield Park,QC,J4V 3G8,450-339-6016,cortney.choice@choice.com
Ira,Betterton,935 S Padre Island Dr,Halifax,NS,B3K 3E4,902-240-7029,ira.betterton@yahoo.com
Vanna,Pickle,3 B Main #117,Newmarket,ON,L3Y 3M4,905-309-4565,vanna_pickle@aol.com
Bo,Sabota,779 Moore St,Winnipeg,MB,R3R 2Z5,204-210-4967,bo_sabota@sabota.com
Nathalie,Corners,14 Van Buren St,Peterborough,ON,K9H 4B6,705-736-4801,nathalie_corners@corners.org
Rodney,Lockamy,7 N Us Highway 67 #96,Ottawa,ON,K1S 2E4,613-273-5773,rodney_lockamy@aol.com
Elena,Hairr,31 Mechanic St #9839,Stephenville,NL,A2N 2N4,709-399-4807,ehairr@hotmail.com
Blossom,Kraatz,881 Route 38,North York,ON,M4A 2A6,416-631-1863,blossom_kraatz@kraatz.org
Loreen,Griepentrog,6 Monard Dr,Orleans,ON,K1C 2E5,613-684-4467,loreen_griepentrog@aol.com
Tayna,Keirnan,18 Cowesett Ave,Barrie,ON,L4N 5C5,705-655-5936,tayna_keirnan@gmail.com
Nieves,Planty,684 Albion Rd,Peterborough,ON,K9H 3K7,705-616-5386,nplanty@gmail.com
Glenn,Robinault,8700 S Jefferson Rd #676,Lachine,QC,H8S 3A8,514-330-5479,glenn.robinault@cox.net
Julianna,Racer,4407 Chestnut Ridge Dr,Saint John,NB,E2K 5L7,506-752-6097,jracer@cox.net
Ashton,Nitchals,13 Midway Pl,Oakville,ON,L6H 5G1,905-725-6769,ashton@cox.net
Shaun,Scovil,253 Hamilton Ave #1684,Pickering,ON,L1W 2P9,905-907-6615,shaun_scovil@aol.com
Long,Shintaku,8 W 41st Ave,Blainville,QC,J7C 2R9,450-771-5010,long.shintaku@shintaku.org
Vinnie,Meir,559 Bridge Plz,Etobicoke,ON,M8Y 1G5,416-862-7028,vmeir@meir.com
Lucia,Flipp,196 Touhy Ave,Scarborough,ON,M1E 3L6,416-870-8070,lucia@aol.com
Corazon,Ivaska,6 W Lincoln Ave,Saskatoon,SK,S7K 3K7,306-333-8933,corazon@ivaska.org
Jaime,Perugini,7071 E 7th St #56,Verdun,QC,H4G 1X4,514-950-4495,jaime_perugini@perugini.com
Miriam,Stakes,784 Packerland Dr,Burlington,ON,L7L 5E8,905-441-5009,miriam.stakes@yahoo.com
Vallie,Nigl,7823 N 36th Ave,North Vancouver,BC,V7H 2J2,604-848-3170,vallie@yahoo.com
Sheldon,Isachsen,35 Milnor St,Valley,NS,B6L 3K5,902-330-7314,sheldon@isachsen.org
Nickie,Balonek,7 Saint Nicholas Ave,North Vancouver,BC,V7J 3P8,604-556-1080,nickie.balonek@balonek.com
Fletcher,Caneles,87 Spencerville Ct #2,Hamilton,ON,L8S 3V2,905-992-1637,fcaneles@caneles.com
Rutha,Eisert,87 W 32nd St,Niagara Falls,ON,L2G 3H6,905-468-2503,rutha@eisert.com
Brandon,Geigel,70 W Main St,Vancouver,BC,V5Z 3S8,604-940-9313,bgeigel@gmail.com
Franchesca,Lamme,3208 W Touhy Ave,Charlottetown,PE,C1E 1W8,902-715-9684,franchesca_lamme@yahoo.com
Lorriane,Naddeo,7 Airway Cir,Duncan,BC,V9L 2T9,250-544-1482,lorriane.naddeo@naddeo.org
Asuncion,Berson,54 Whitaker Way,Reinfeld,MB,R6W 1K7,204-318-1929,aberson@aol.com
Georgiann,Hoerter,4945 Progress Dr,Grand-Mere,QC,G9T 3C3,819-632-2869,georgiann_hoerter@hoerter.com
Hershel,Bultron,658 W 30th St,London,ON,N5Z 1R6,519-844-4835,hershel_bultron@bultron.org
Chu,Collopy,8 E 9mile Rd #697,Trois-Rivieres,QC,G8V 2J6,819-677-1206,chu@aol.com
Bettina,Vosmus,7 Ryan Industrial Ct,Vancouver,BC,V6H 3Y2,604-752-9256,bettina@hotmail.com
Lynsey,Sport,7 Mccrea St,Chilliwack,BC,V2P 6L6,604-525-6939,lynsey.sport@aol.com
Phil,Kuechler,7 Mcwhorter Rd,Jonquiere,QC,G7X 2X4,418-940-4070,phil_kuechler@gmail.com
Cordelia,Nicks,572 Simpson St,Georgetown,ON,L7G 2T4,905-975-4308,cnicks@nicks.org
Georgeanna,Marrano,3493 Camino Ruiz,Hamilton,ON,L8N 2V6,905-366-7378,gmarrano@gmail.com
Rosendo,Lanter,2052 E Semoran Blvd,Regina,SK,S4N 5R4,306-700-6743,rosendo@hotmail.com
Jerilyn,Norcia,9 Main St,Hanover,ON,N4N 2P6,519-978-7661,jerilyn@hotmail.com
Elfriede,Bakeley,538 Fayetteville Street Mall,Grand-Sault/Grand Falls,NB,E3Z 2K5,506-404-8558,ebakeley@bakeley.com
Harris,Sheck,9875 Sheafe Rd,Montreal,QC,H2H 1Z2,514-257-9319,harris@cox.net
Leonor,Beilinson,269 Distribution Way,Orleans,ON,K1C 1Z6,613-338-5158,leonor.beilinson@hotmail.com
Terrilyn,Waska,6 E Miraloma Ave,Gatineau,QC,J8M 2A5,819-670-6020,terrilyn_waska@hotmail.com
Maddie,Foulds,56 N Wood Ave #25,Montreal,QC,H2M 1W9,514-874-9519,maddie@hotmail.com
Melynda,Anstead,3 Lee Dr #8435,Longueuil,QC,J4J 3E9,450-470-3593,melynda@hotmail.com
Odette,Thigpen,1831 Everett Rd,Corner Brook,NL,A2H 2K1,709-744-4165,othigpen@thigpen.com
Steffanie,Meinen,801 W Belmont Ave,Montreal,QC,H3C 5G9,514-964-9106,steffanie.meinen@cox.net
Antonette,Stimac,61 N Westshore Blvd,Kitchener,ON,N2A 1S3,519-670-5269,antonette_stimac@stimac.org
Thora,Daneker,6 Old York Rd,Gatineau,QC,J8P 3A1,819-648-4049,tdaneker@daneker.com
Nada,Massanet,80 Sw End Blvd,Surrey,BC,V3R 4L7,604-570-1494,nmassanet@yahoo.com
